Ticker,Name,Country,Sector,LastPrice,LastPrice+1M,T12M_DVDS_PAID,TRAIL_12M_EARN_FOR_COMMON,TOTAL_EQUITY,BS_TOT_ASSET,TRAIL_12M_CASH_FROM_OPER,TRAIL_12M_FREE_CASH_FLOW,TRAIL_12M_OPER_MARGIN,TRAIL_12M_GROSS_MARGIN,TRAIL_12M_NET_SALES,TRAIL_12M_ACCT_RCV_UNBILLED_REV,VOLATILITY_90D,CUR_MKT_CAP,TRAIL_12M_EBITDA,TRAIL_12M_INT_EXP,NET_DEBT
VRSK UW Equity,Verisk Analytics Inc,US,Industrials,76.88,73,0,491.19,1313.636,5619.097,630.861,481.27,37.6132,61.3786,1897.208,8.666,29.034,13025.6511,898.97,106.515,3025.91
AA UN Equity,Alcoa Inc,US,Materials,9.87,7.29,-205,466,14691,36587,2175,924,7.0185,21.2457,23666,256,47.548,12930.9711,2956,491,7538
AXP UN Equity,American Express Co,US,Financials,69.55,53.5,-1940,5626,21335,154216,16905,14892,24.7865,#N/A N/A,35136,#N/A N/A,20.921,68454.3031,12130,1628,31875
EPE UN Equity,EP Energy Corp,US,Energy,4.38,3.74,0,617,4345,10352,1319,-372,45.9849,51.8874,2914,47,104.11,1089.7436,2310,332,4903
VZ UN Equity,Verizon Communications Inc,US,Telecommunication Services,46.22,49.97,-8523,10257,14542,242073,35900,18793,16.2227,59.9772,130558,#N/A N/A,18.333,188063.3122,37226,5024,108143
BA UN Equity,Boeing Co/The,US,Industrials,144.59,120.13,-2401,5613,6786,98998,11242,8747,8.5631,15.3099,97009,-1145,23.188,96872.9349,10184,284,-841
RCL UN Equity,Royal Caribbean Cruises Ltd,US,Consumer Discretionary,101.21,81.96,-264.813,568.752,8255.786,20958.848,1892.131,-720.886,9.0608,60.066,8214.847,54.392,31.384,22265.7336,1555.388,277.966,8342.517
CAT UN Equity,Caterpillar Inc,US,Industrials,67.96,62.24,-1732,3080,15968,78969,6735,3541,9.1747,27.1896,50225,533,29.804,39568.6108,7675,507,4748
JPM UN Equity,JPMorgan Chase & Co,US,Financials,66.03,59.5,-7590,21986,245728,2417121,86045,86045,31.9373,#N/A N/A,100830,#N/A N/A,25.749,243065.0062,#N/A N/A,7422,37240
CVX UN Equity,Chevron Corp,US,Energy,89.96,86.47,-7995,8646,155938,268449,21396,-10327,0.8359,4.9657,136376,5440,32.972,169308.0254,21650,#N/A N/A,22637
LII UN Equity,Lennox International Inc,US,Industrials,124.9,119.82,-57.5,220,97.5,1881.5,268.2,192.7,10.4466,27.4281,3446.1,-64.5,23.82,5627.3891,422.2,#N/A N/A,882.9
KO UN Equity,Coca-Cola Co/The,US,Consumer Staples,42.96,42.92,-6983,6774,26267,93008,11026,8568,19.1759,60.623,45166,#N/A N/A,15.953,186832.4107,10603,852,23412
DIS UN Equity,Walt Disney Co/The,US,Consumer Discretionary,105.08,95.82,-3063,8382,48655,88182,10909,6644,25.1044,45.9373,52465,-211,22.684,173715.9292,15525,265,13094
PSX UN Equity,Phillips 66,US,Energy,81.8,80.15,-1149,4724,24032,49415,5088,676,5.0033,10.8929,98055,#N/A N/A,28.496,43635.4172,5976,309,4129
DD UN Equity,EI du Pont de Nemours & Co,US,Materials,66.6,52.76,-1638,2879,11222,40302,3669,1669,12.4475,39.0403,27154,#N/A N/A,33.679,58368.705,4922,380,6206
XOM UN Equity,Exxon Mobil Corp,US,Energy,77.95,77.85,-11960,19940,176839,340662,33379,4141,6.8361,11.8945,260574,#N/A N/A,27.61,324501.0542,35564,319,30016
GE UN Equity,General Electric Co,US,Industrials,31.15,29.1,-9169,-7275,119993,581310,24611,19076,10.1106,29.271,123009,-313,24.287,293989.715,17025,1680,3781
EVHC UN Equity,Envision Healthcare Holdings Inc,US,Health Care,25.97,22.1,0,152.926,1944.184,5296.94,274.989,186.915,7.2341,#N/A N/A,5123.907,#N/A N/A,72.948,4849.3851,545.88,108.072,2108.694
HPQ UN Equity,HP Inc,US,Information Technology,11.84,9.71,-1250,4554,28151,106882,6490,2887,5.4366,22.6322,77898,507,47.073,21215.4849,8296,#N/A N/A,7232
HD UN Equity,Home Depot Inc/The,US,Consumer Discretionary,132.25,125.76,-2905,6917,7619,44152,9361,7835,13.1671,34.2453,86701,-80,21.291,167677.2921,13241,890,17822
IBM UN Equity,International Business Machines Corp,US,Information Technology,137.62,124.79,-4725,14211,13451,108649,17786,14169,18.6512,50.2888,83796,#N/A N/A,23.976,133506.553,19540,457,30092
DXCM UW Equity,DexCom Inc,US,Health Care,81.9,71.28,0,-57.8,193.3,256.7,46.1,19.8,-16.0619,69.3671,355.5,-24.4,51.49,6658.0554,-47,0.6,-110.4
